Iteration 217, Best Cost: 5672, Hard Conflicts: 0, Soft Conflicts: 5672, Time: 12.80s
Iteration 218, Best Cost: 5672, Hard Conflicts: 0, Soft Conflicts: 5672, Time: 12.85s
Iteration 219, Best Cost: 5672, Hard Conflicts: 0, Soft Conflicts: 5672, Time: 12.90s
Iteration 220, Best Cost: 5672, Hard Conflicts: 0, Soft Conflicts: 5672, Time: 12.97s
Iteration 221, Best Cost: 5641, Hard Conflicts: 0, Soft Conflicts: 5641, Time: 13.02s
Iteration 222, Best Cost: 5641, Hard Conflicts: 0, Soft Conflicts: 5641, Time: 13.09s
Iteration 223, Best Cost: 5511, Hard Conflicts: 0, Soft Conflicts: 5511, Time: 13.14s
Iteration 224, Best Cost: 5511, Hard Conflicts: 0, Soft Conflicts: 5511, Time: 13.19s
Iteration 225, Best Cost: 5511, Hard Conflicts: 0, Soft Conflicts: 5511, Time: 13.26s
Iteration 226, Best Cost: 5511, Hard Conflicts: 0, Soft Conflicts: 5511, Time: 13.31s
Iteration 227, Best Cost: 5511, Hard Conflicts: 0, Soft Conflicts: 5511, Time: 13.37s
Iteration 228, Best Cost: 5511, Hard Conflicts: 0, Soft Conflicts: 5511, Time: 13.42s
Iteration 229, Best Cost: 5511, Hard Conflicts: 0, Soft Conflicts: 5511, Time: 13.47s
Iteration 230, Best Cost: 5511, Hard Conflicts: 0, Soft Conflicts: 5511, Time: 13.54s
Iteration 231, Best Cost: 5511, Hard Conflicts: 0, Soft Conflicts: 5511, Time: 13.59s
Iteration 232, Best Cost: 5511, Hard Conflicts: 0, Soft Conflicts: 5511, Time: 13.65s
Iteration 233, Best Cost: 5511, Hard Conflicts: 0, Soft Conflicts: 5511, Time: 13.70s
Iteration 234, Best Cost: 5511, Hard Conflicts: 0, Soft Conflicts: 5511, Time: 13.76s
Iteration 235, Best Cost: 5491, Hard Conflicts: 0, Soft Conflicts: 5491, Time: 13.82s
Iteration 236, Best Cost: 5491, Hard Conflicts: 0, Soft Conflicts: 5491, Time: 13.87s
Iteration 237, Best Cost: 5491, Hard Conflicts: 0, Soft Conflicts: 5491, Time: 13.94s
Iteration 238, Best Cost: 5441, Hard Conflicts: 0, Soft Conflicts: 5441, Time: 13.99s
Iteration 239, Best Cost: 5441, Hard Conflicts: 0, Soft Conflicts: 5441, Time: 14.04s
Iteration 240, Best Cost: 5179, Hard Conflicts: 0, Soft Conflicts: 5179, Time: 14.11s
Iteration 241, Best Cost: 5179, Hard Conflicts: 0, Soft Conflicts: 5179, Time: 14.16s
Iteration 242, Best Cost: 5179, Hard Conflicts: 0, Soft Conflicts: 5179, Time: 14.23s
Iteration 243, Best Cost: 5179, Hard Conflicts: 0, Soft Conflicts: 5179, Time: 14.28s
Iteration 244, Best Cost: 5179, Hard Conflicts: 0, Soft Conflicts: 5179, Time: 14.33s
Iteration 245, Best Cost: 5149, Hard Conflicts: 0, Soft Conflicts: 5149, Time: 14.40s
Iteration 246, Best Cost: 5149, Hard Conflicts: 0, Soft Conflicts: 5149, Time: 14.45s
Iteration 247, Best Cost: 5149, Hard Conflicts: 0, Soft Conflicts: 5149, Time: 14.51s
Iteration 248, Best Cost: 5149, Hard Conflicts: 0, Soft Conflicts: 5149, Time: 14.56s
Iteration 249, Best Cost: 5149, Hard Conflicts: 0, Soft Conflicts: 5149, Time: 14.61s
Iteration 250, Best Cost: 5149, Hard Conflicts: 0, Soft Conflicts: 5149, Time: 14.68s
Iteration 251, Best Cost: 5149, Hard Conflicts: 0, Soft Conflicts: 5149, Time: 14.73s
Iteration 252, Best Cost: 5149, Hard Conflicts: 0, Soft Conflicts: 5149, Time: 14.78s
Iteration 253, Best Cost: 5083, Hard Conflicts: 0, Soft Conflicts: 5083, Time: 14.84s
Iteration 254, Best Cost: 5083, Hard Conflicts: 0, Soft Conflicts: 5083, Time: 14.89s
Iteration 255, Best Cost: 5083, Hard Conflicts: 0, Soft Conflicts: 5083, Time: 14.96s
Iteration 256, Best Cost: 5083, Hard Conflicts: 0, Soft Conflicts: 5083, Time: 15.01s
Iteration 257, Best Cost: 5083, Hard Conflicts: 0, Soft Conflicts: 5083, Time: 15.06s
Iteration 258, Best Cost: 5083, Hard Conflicts: 0, Soft Conflicts: 5083, Time: 15.13s
Iteration 259, Best Cost: 5083, Hard Conflicts: 0, Soft Conflicts: 5083, Time: 15.18s
Iteration 260, Best Cost: 5083, Hard Conflicts: 0, Soft Conflicts: 5083, Time: 15.25s
Iteration 261, Best Cost: 5083, Hard Conflicts: 0, Soft Conflicts: 5083, Time: 15.30s
Iteration 262, Best Cost: 5083, Hard Conflicts: 0, Soft Conflicts: 5083, Time: 15.35s
Iteration 263, Best Cost: 5083, Hard Conflicts: 0, Soft Conflicts: 5083, Time: 15.41s
Iteration 264, Best Cost: 5083, Hard Conflicts: 0, Soft Conflicts: 5083, Time: 15.46s
Iteration 265, Best Cost: 5083, Hard Conflicts: 0, Soft Conflicts: 5083, Time: 15.53s
Iteration 266, Best Cost: 5083, Hard Conflicts: 0, Soft Conflicts: 5083, Time: 15.58s
Iteration 267, Best Cost: 5083, Hard Conflicts: 0, Soft Conflicts: 5083, Time: 15.63s
Iteration 268, Best Cost: 5083, Hard Conflicts: 0, Soft Conflicts: 5083, Time: 15.69s
